SOL_ID,SCHM_CODE,ACTIVITY_CD,NO OF ACS,TOTAL BALANCE(In Crores),PRIORITY_TYPE,REPORT_DT,LOAN TYPE,Branch Name,Region Name,Branch Code,TERRITORY_NAME
0174,AGDRY,1201,11,-0.041397848,AGRI,20260101,G.AGRI ALLIED TERM LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGGRN,1409,1,-0.076924676,AGRI,20260101,H.OTHERS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGOTH,1154,3,-0.0114104,AGRI,20260101,H.OTHERS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGOTH,1159,1,-0.0027407,AGRI,20260101,H.OTHERS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGOTH,1409,5,-0.0307276,AGRI,20260101,H.OTHERS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGPLF,1182,1,-0.1425864,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGPLT,1203,1,-0.0255542,AGRI,20260101,G.AGRI ALLIED TERM LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGSHG,1159,1,-0.05892909,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGTPT,1159,1,-0.098,AGRI,20260101,D.AGRI TRANSPORT,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,AGTPT,1203,1,-0.006958445,AGRI,20260101,D.AGRI TRANSPORT,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,CCPUB,15301,1,-0.007236872,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,CCPUB,15302,1,-0.0207321,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,CCPUB,15403,1,-0.014079166,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,CCPUB,15409,1,-0.197205284,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,CCPUB,52301,1,-0.202048686,AGRI,20260101,H.OTHERS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,KCCAG,1101,1,-0.006641278,AGRI,20260101,A.KCC-CROP LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,KCCDC,1101,11,-0.087865876,AGRI,20260101,A.KCC-CROP LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,KCCDC,1104,2,-0.044008321,AGRI,20260101,A.KCC-CROP LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,KCCDC,1125,2,-0.03,AGRI,20260101,A.KCC-CROP LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,KCCDC,1126,1,-0.004999999,AGRI,20260101,A.KCC-CROP LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,KCCDC,1129,6,-0.066699816,AGRI,20260101,A.KCC-CROP LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,KCCDC,1201,1,-0.02,AGRI,20260101,A.KCC-CROP LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,NRLCC,1182,43,-2.837797169,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,NRLCC,1201,9,-0.768325649,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,NSHCC,1201,1,-0.048587106,AGRI,20260101,H.OTHERS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,SHGAG,1159,3,-0.002882271,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,SHGAG,1201,2,0,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,SHGLK,1182,12,-0.543105353,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,SHGLK,1201,2,-0.1713113,AGRI,20260101,B.SHG LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,SLCGC,15402,1,-0.019617223,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,STGAD,1409,2,-0.0062238,AGRI,20260101,H.OTHERS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,STLOA,15301,1,-0.00930034,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,STLOA,15302,1,-0.021415712,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,TLAGM,1201,1,-0.011410872,AGRI,20260101,G.AGRI ALLIED TERM LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,TLAGM,1202,3,-0.0150827,AGRI,20260101,G.AGRI ALLIED TERM LOANS,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0174,TLFME,15301,1,-0.27,AGRI,20260101,F.FOOD AND AGRO,Theni - Allinagaram,Dindigul Region,174,ZONAL OFFICE - COIMBATORE
0175,AGDRY,1201,27,-0.18225626,AGRI,20260101,G.AGRI ALLIED TERM LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,AGMIR,1154,1,-0.0103729,AGRI,20260101,H.OTHERS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,AGSHP,1202,1,-0.010615604,AGRI,20260101,G.AGRI ALLIED TERM LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCAG,1101,1,-0.002664,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCAG,1102,2,-0.0119707,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCAG,1119,7,-0.033035763,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCDC,1101,56,-0.572418225,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCDC,1104,2,-0.028228817,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCDC,1105,21,-0.221627878,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCDC,1108,1,-0.01199999,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCDC,1125,9,-0.077486148,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,KCCDC,1129,10,-0.08663395,AGRI,20260101,A.KCC-CROP LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,SHGLK,1182,2,-0.219164742,AGRI,20260101,B.SHG LOANS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,TLAVN,1201,2,-0.027,AGRI,20260101,H.OTHERS,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0175,TLFME,15104,1,-0.00676161,AGRI,20260101,F.FOOD AND AGRO,Ayakudi,Dindigul Region,175,ZONAL OFFICE - COIMBATORE
0176,AGDRY,1201,7,-0.212634355,AGRI,20260101,G.AGRI ALLIED TERM LOANS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,AGGRN,1409,1,-0.116793016,AGRI,20260101,H.OTHERS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,AGOTH,1125,3,-0.0542492,AGRI,20260101,H.OTHERS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,AGTPT,1127,1,-0.240103056,AGRI,20260101,D.AGRI TRANSPORT,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,AGTPT,1409,1,-0.0160346,AGRI,20260101,D.AGRI TRANSPORT,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,DLDEP,1101,1,-0.075,AGRI,20260101,H.OTHERS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,DLDEP,1409,1,-0.023,AGRI,20260101,H.OTHERS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,KCCCP,1101,2,-0.0270644,AGRI,20260101,A.KCC-CROP LOANS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,KCCCP,1104,1,-0.1222075,AGRI,20260101,A.KCC-CROP LOANS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,KCCDC,1101,1,-0.004177003,AGRI,20260101,A.KCC-CROP LOANS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,KCCDC,1105,1,-0.00638835,AGRI,20260101,A.KCC-CROP LOANS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,KCCDC,1119,1,-0.006059909,AGRI,20260101,A.KCC-CROP LOANS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
0176,KCCDC,1126,1,-0.214955396,AGRI,20260101,A.KCC-CROP LOANS,Cumbum,Dindigul Region,176,ZONAL OFFICE - COIMBATORE
