Region Name,Branch Code,Branch Name,Period,Deposits,Savings Bank,Current Deposits,Term Deposits,Advances,Business,Number of Branches
Dindigul Region,332,Dindigul,20251231,135.801235484,66.862617074,9.118894783,59.819723627,140.168001554,275.969237038,1
Dindigul Region,376,Palani,20251231,177.050015874,76.306709752,2.634237322,98.1090688,92.287168802,269.337184676,1
Dindigul Region,1314,"Servite Convent, Dindigul",20251231,125.879933844,64.646231889,3.969680955,57.264021,80.670954812,206.550888656,1
Dindigul Region,174,Theni - Allinagaram,20251231,82.932568074,42.904067119,2.288108864,37.740392091,100.529551152,183.462119226,1
Dindigul Region,2098,"R.M. Colony, Dindigul",20251231,61.410550529,27.123244828,5.856252201,28.4310535,119.640033677,181.050584206,1
Dindigul Region,2574,Bodinayakanur,20251231,56.296568298,28.261429613,0.808878885,27.2262598,113.179433277,169.476001575,1
Dindigul Region,1044,Lakshmipuram,20251231,65.915138039,27.239675099,0.916755988,37.758706952,88.126500135,154.041638174,1
Dindigul Region,230,Vedasandur,20251231,75.870244087,43.458472668,1.178480919,31.2332905,76.058252149,151.928496236,1
Dindigul Region,1830,"Collectorate Branch, Dindigul",20251231,69.022728039,41.0374211,2.684233021,25.301073918,77.448884627,146.471612666,1
Dindigul Region,1013,ReddiapattI,20251231,31.025548568,17.732971618,1.18000275,12.1125742,108.142495115,139.168043683,1
Dindigul Region,176,Cumbum,20251231,53.479052369,31.956681136,2.793834833,18.7285364,82.644561192,136.123613561,1
Dindigul Region,243,Pattiveeranpatti,20251231,58.093356116,26.60065032,1.763030696,29.7296751,73.047868797,131.141224913,1
Dindigul Region,2461,Vadamadurai,20251231,34.00063283,23.130655167,0.693489263,10.1764884,94.405830044,128.406462874,1
Dindigul Region,2703,Palani Chettipatti,20251231,30.570367258,16.121316597,0.693011461,13.7560392,95.318599776,125.888967034,1
Dindigul Region,2685,Silapadi,20251231,39.608845034,22.958195417,1.287793417,15.3628562,78.103721542,117.712566576,1
Dindigul Region,2286,Batlagundu,20251231,38.711825528,26.674402179,1.25063687,10.786786479,76.699677868,115.411503396,1
Dindigul Region,1560,Chinnamanur,20251231,42.028934122,22.321937546,1.067014196,18.63998238,73.266605472,115.295539594,1
Dindigul Region,1896,Theni Medical College,20251231,32.858231596,23.872000825,1.212030134,7.774200637,81.546902858,114.405134454,1
Dindigul Region,2705,Vembarpatti - Gopalpatti,20251231,27.481529671,18.948843007,1.695298964,6.8373877,86.845910037,114.327439708,1
Dindigul Region,1258,Oddanchatram,20251231,59.531072781,27.945989814,1.994096067,29.5909869,49.463848632,108.994921413,1
